Time (min),Force (N),Position (mm)
1.67E-05,-0.275177305,0
0.00521,-0.239716312,3.47E-06
0.0104,5.985815603,0.000511549
0.0156,9.716312057,0.001032987
0.0208,8.326241135,0.001564478
0.026,6.695035461,0.002091718
0.0312,6,0.002599524
0.0364,8.184397163,0.003120155
0.0416,12.55319149,0.003644152
0.0468,17.58865248,0.004144172
0.052,22.69503546,0.004663192
0.0572,28.08510638,0.005189464
0.0624,33.19148936,0.005691827
0.0676,38.58156028,0.006205348
0.0728,44.25531915,0.006731156
0.078,49.36170213,0.007230799
0.0832,54.75177305,0.00774312
0.0884,60.28368794,0.008269626
0.0936,65.39007092,0.008765015
0.0988,70.35460993,0.009275367
0.104,75.46099291,0.009802951
0.109,80,0.010294496
0.114,84.53900709,0.010804815
0.12,89.36170213,0.011330772
0.125,93.61702128,0.011823109
0.13,98.0141844,0.012330317
0.135,102.4113475,0.012852351
0.14,106.5248227,0.013342407
0.146,110.7801418,0.013847675
0.151,115.177305,0.014369255
0.156,119.1489362,0.01485857
0.161,123.2624113,0.015362668
0.166,127.5177305,0.015885316
0.172,131.3475177,0.016369699
0.177,135.3191489,0.016871872
0.182,139.5744681,0.017392539
0.187,143.2624113,0.017878478
0.192,147.5177305,0.018374939
0.198,150.3546099,0.018892121
0.203,154.6099291,0.019374685
0.208,158.8652482,0.019873795
0.213,161.7021277,0.020390532
0.218,165.9574468,0.020873889
0.224,168.7943262,0.021371475
0.229,173.0496454,0.021884374
0.234,175.8865248,0.022370021
0.239,178.7234043,0.022862705
0.244,181.5602837,0.023373667
0.25,184.3971631,0.023857837
0.255,187.2340426,0.024352769
0.26,190.070922,0.024862175
0.265,192.9078014,0.025341131
0.27,194.3262411,0.025837923
0.276,197.1631206,0.026345033
0.281,198.5815603,0.026827381
0.286,200,0.027317445
0.291,201.4184397,0.0278219
0.296,202.8368794,0.028305388
0.302,204.2553191,0.028792851
0.307,205.6737589,0.0293006
0.312,207.0921986,0.029778912
0.317,208.5106383,0.030267119
0.322,209.929078,0.030766301
0.327,211.3475177,0.031246496
0.333,212.7659574,0.031731752
0.338,212.7659574,0.032229796
0.343,214.1843972,0.032712594
0.348,215.6028369,0.03319123
0.353,215.6028369,0.033687775
0.359,217.0212766,0.034169119
0.364,218.4397163,0.034646316
0.369,218.4397163,0.035141367
0.374,219.858156,0.035623096
0.379,219.858156,0.036100686
0.385,221.2765957,0.036591689
0.39,222.6950355,0.037073431
0.395,222.6950355,0.037547033
0.4,224.1134752,0.038035471
0.405,224.1134752,0.038516135
0.411,225.5319149,0.038989047
0.416,226.9503546,0.039479655
0.421,226.9503546,0.039955248
0.426,228.3687943,0.040426746
0.431,228.3687943,0.040912266
0.437,229.787234,0.041397296
0.442,229.787234,0.041863764
0.447,231.2056738,0.042347831
0.452,231.2056738,0.042827803
0.457,232.6241135,0.04329288
0.463,232.6241135,0.043775506
0.468,234.0425532,0.044254048
0.473,234.0425532,0.04471774
0.478,235.4609929,0.045202519
0.483,235.4609929,0.045679634
0.489,236.8794326,0.046138363
0.494,236.8794326,0.0466217
0.499,238.2978723,0.047097399
0.504,238.2978723,0.047558337
0.509,239.7163121,0.048036669
0.515,239.7163121,0.048514521
0.52,241.1347518,0.048970529
0.525,241.1347518,0.049451002
0.53,241.1347518,0.049923882
0.535,242.5531915,0.05037854
0.541,242.5531915,0.050857591
0.546,243.9716312,0.051332616
0.551,243.9716312,0.051782388
0.556,245.3900709,0.052256488
0.561,245.3900709,0.052733647
0.567,245.3900709,0.053182091
0.572,246.8085106,0.053654793
0.577,246.8085106,0.054130545
0.582,248.2269504,0.054577668
0.587,248.2269504,0.055048977
0.593,249.6453901,0.055526841
0.598,249.6453901,0.055972646
0.603,249.6453901,0.05643906
0.608,251.0638298,0.05691552
0.613,251.0638298,0.057363513
0.619,251.0638298,0.057828554
0.624,252.4822695,0.058303612
0.629,252.4822695,0.058746799
0.634,253.9007092,0.059210478
0.639,253.9007092,0.059684143
0.645,253.9007092,0.060122554
0.65,255.3191489,0.060588353
0.655,255.3191489,0.061060632
0.66,255.3191489,0.061501229
0.665,256.7375887,0.061965662
0.671,256.7375887,0.062440018
0.676,256.7375887,0.062875864
0.681,258.1560284,0.063338939
0.686,258.1560284,0.063808457
0.691,258.1560284,0.064243032
0.697,259.5744681,0.064701312
0.702,259.5744681,0.065172906
0.707,259.5744681,0.065609653
0.712,260.9929078,0.066066596
0.717,260.9929078,0.066536815
0.723,260.9929078,0.066968861
0.728,262.4113475,0.067424476
0.733,262.4113475,0.067893329
0.738,262.4113475,0.068327538
0.743,263.8297872,0.068778413
0.749,263.8297872,0.069249317
0.754,263.8297872,0.069678856
0.759,265.248227,0.070131829
0.764,265.248227,0.070597964
0.769,265.248227,0.071029658
0.775,266.6666667,0.071481316
0.78,266.6666667,0.0719461
0.785,266.6666667,0.072376542
0.79,268.0851064,0.072823508
0.795,268.0851064,0.073286949
0.801,268.0851064,0.073716149
0.806,268.0851064,0.074161825
0.811,269.5035461,0.074620558
0.816,269.5035461,0.075051892
0.821,269.5035461,0.075492919
0.827,270.9219858,0.075950334
0.832,270.9219858,0.076380429
0.837,270.9219858,0.076823546
0.842,270.9219858,0.077279646
0.847,270.9219858,0.077711854
0.852,272.3404255,0.078153694
0.858,272.3404255,0.078608481
0.863,272.3404255,0.079036106
0.868,273.7588652,0.079476679
0.873,273.7588652,0.079930162
0.878,273.7588652,0.080359891
0.884,273.7588652,0.080795872
0.889,275.177305,0.081248056
0.894,275.177305,0.081679875
0.899,275.177305,0.082114606
0.904,276.5957447,0.082565494
0.91,276.5957447,0.082996076
0.915,276.5957447,0.083429561
0.92,276.5957447,0.083875854
0.925,276.5957447,0.084305208
0.93,278.0141844,0.084737457
0.936,278.0141844,0.085182477
0.941,278.0141844,0.085613899
0.946,278.0141844,0.086041625
0.951,279.4326241,0.086485378
0.956,279.4326241,0.086915572
0.962,279.4326241,0.087342081
0.967,279.4326241,0.087784574
0.972,280.8510638,0.088213545
0.977,280.8510638,0.088638843
0.982,280.8510638,0.089080078
0.988,280.8510638,0.08951436
0.993,280.8510638,0.089931924
0.998,282.2695035,0.090371909
1,282.2695035,0.09080496
1.01,282.2695035,0.091221341
1.01,282.2695035,0.091656832
1.02,283.6879433,0.092091906
1.02,283.6879433,0.09250711
1.03,283.6879433,0.09294137
1.03,283.6879433,0.093375214
1.04,283.6879433,0.093786012
1.04,285.106383,0.094222279
1.05,285.106383,0.0946549
1.06,285.106383,0.095064539
1.06,285.106383,0.095502797
1.07,285.106383,0.095930978
1.07,286.5248227,0.096339463
1.08,286.5248227,0.096773276
1.08,286.5248227,0.097206672
1.09,286.5248227,0.097614006
1.09,286.5248227,0.098046596
1.1,287.9432624,0.098475572
1.1,287.9432624,0.098881762
1.11,287.9432624,0.099313138
1.11,287.9432624,0.0997441
1.12,287.9432624,0.100149149
1.12,289.3617021,0.100576127
1.13,289.3617021,0.101005882
1.13,289.3617021,0.101409796
1.14,289.3617021,0.101835579
1.14,289.3617021,0.102267305
1.15,289.3617021,0.102666916
1.15,290.7801418,0.103094676
1.16,290.7801418,0.103525193
1.16,290.7801418,0.103923685
1.17,290.7801418,0.104350248
1.17,290.7801418,0.104779561
1.18,290.7801418,0.105176939
1.19,292.1985816,0.105599161
1.19,292.1985816,0.106027277
1.2,292.1985816,0.106423548
1.2,292.1985816,0.106844594
1.21,292.1985816,0.10727152
1.21,292.1985816,0.107666689
1.22,293.6170213,0.108083433
1.22,293.6170213,0.108512304
1.23,293.6170213,0.108906376
1.23,293.6170213,0.109325086
1.24,293.6170213,0.109749643
1.24,293.6170213,0.110142622
1.25,295.035461,0.110560172
1.25,295.035461,0.110986665
1.26,295.035461,0.111378553
1.26,295.035461,0.111791838
1.27,295.035461,0.11221715
1.27,295.035461,0.112607954
1.28,295.035461,0.113020097
1.28,296.4539007,0.113444234
1.29,296.4539007,0.113837051
1.29,296.4539007,0.114248052
1.3,296.4539007,0.114671017
1.3,296.4539007,0.115059664
1.31,296.4539007,0.115469532
1.32,297.8723404,0.115888254
1.32,297.8723404,0.116278908
1.33,297.8723404,0.116687648
1.33,297.8723404,0.117108286
1.34,297.8723404,0.117497863
1.34,297.8723404,0.117905477
1.35,297.8723404,0.118321896
1.35,297.8723404,0.118710403
1.36,299.2907801,0.119116897
1.36,299.2907801,0.119532173
1.37,299.2907801,0.119919615
1.37,299.2907801,0.120324995
1.38,299.2907801,0.120742177
1.38,299.2907801,0.121131595
1.39,299.2907801,0.121529783
1.39,300.7092199,0.121945823
1.4,300.7092199,0.122337209
1.4,300.7092199,0.122734306
1.41,300.7092199,0.123146179
1.41,300.7092199,0.123536496
1.42,300.7092199,0.12393553
1.42,300.7092199,0.124346276
1.43,300.7092199,0.124735525
1.43,300.7092199,0.125130455
1.44,302.1276596,0.125540082
1.45,302.1276596,0.125931279
1.45,302.1276596,0.126322126
1.46,302.1276596,0.126730638
1.46,302.1276596,0.12712077
1.47,302.1276596,0.127510554
1.47,302.1276596,0.127917956
1.48,302.1276596,0.128307028
1.48,302.1276596,0.128695754
1.49,303.5460993,0.129102049
1.49,303.5460993,0.12949305
1.5,303.5460993,0.129877738
1.5,303.5460993,0.130282932
1.51,303.5460993,0.130672873
1.51,303.5460993,0.131059492
1.52,303.5460993,0.131460617
1.52,303.5460993,0.13185247
1.53,303.5460993,0.132235075
1.53,304.964539,0.132638078
1.54,304.964539,0.133028869
1.54,304.964539,0.133407483
1.55,304.964539,0.133809397
1.55,304.964539,0.134205037
1.56,304.964539,0.134579675
1.56,304.964539,0.134977557
1.57,304.964539,0.135369187
1.58,304.964539,0.13574576
1.58,304.964539,0.13614257
1.59,304.964539,0.136536082
1.59,304.964539,0.136908706
1.6,306.3829787,0.13730445
1.6,306.3829787,0.137696904
1.61,306.3829787,0.138068527
1.61,306.3829787,0.138466131
1.62,306.3829787,0.138857528
1.62,306.3829787,0.139228152
1.63,306.3829787,0.139624687
1.63,306.3829787,0.140015033
1.64,306.3829787,0.14038757
1.64,307.8014184,0.140777225
1.65,307.8014184,0.14116943
1.65,307.8014184,0.141535165
1.66,307.8014184,0.141926679
1.66,307.8014184,0.142317835
1.67,307.8014184,0.142685487
1.67,307.8014184,0.143075952
1.68,307.8014184,0.143466062
1.68,307.8014184,0.143829845
1.69,307.8014184,0.144216385
1.69,307.8014184,0.144611219
1.7,307.8014184,0.144974029
1.7,309.2198582,0.145359538
1.71,309.2198582,0.145750445
1.72,309.2198582,0.14611516
1.72,309.2198582,0.146496772
1.73,309.2198582,0.146889505
1.73,309.2198582,0.147250386
1.74,309.2198582,0.147633845
1.74,309.2198582,0.148022675
1.75,309.2198582,0.148382598
1.75,309.2198582,0.148765039
1.76,309.2198582,0.149155688
1.76,309.2198582,0.149511806
1.77,309.2198582,0.149893235
1.77,310.6382979,0.150282849
1.78,309.2198582,0.150640865
1.78,310.6382979,0.151021281
1.79,310.6382979,0.151407027
1.79,310.6382979,0.151764097
1.8,310.6382979,0.152143508
1.8,310.6382979,0.152528235
1.81,310.6382979,0.152884362
1.81,310.6382979,0.153262772
1.82,310.6382979,0.153649304
1.82,310.6382979,0.15400449
1.83,310.6382979,0.154379085
1.83,310.6382979,0.154764599
1.84,310.6382979,0.155118849
1.85,310.6382979,0.155492458
1.85,312.0567376,0.155874152
1.86,310.6382979,0.156230276
1.86,312.0567376,0.156602903
1.87,312.0567376,0.156986392
1.87,312.0567376,0.157341579
1.88,312.0567376,0.157710431
1.88,312.0567376,0.158092915
1.89,312.0567376,0.158447169
1.89,312.0567376,0.158815055
1.9,312.0567376,0.159193753
1.9,312.0567376,0.159549863
1.91,312.0567376,0.159916785
1.91,312.0567376,0.160297268
1.92,312.0567376,0.16064967
1.92,312.0567376,0.161015634
1.93,312.0567376,0.161395122
1.93,312.0567376,0.16174937
1.94,312.0567376,0.162111611
1.94,313.4751773,0.162487347
1.95,312.0567376,0.162843432
1.95,313.4751773,0.163207485
1.96,313.4751773,0.163579485
1.96,313.4751773,0.163934642
1.97,313.4751773,0.164297747
1.98,313.4751773,0.164668778
1.98,313.4751773,0.165025756
1.99,313.4751773,0.165385171
1.99,313.4751773,0.165757978
2,313.4751773,0.166116763
2,313.4751773,0.166472505
2.01,313.4751773,0.166841608
2.01,313.4751773,0.167199462
2.02,313.4751773,0.167551553
2.02,313.4751773,0.167922427
2.03,313.4751773,0.168279353
2.03,313.4751773,0.168633253
2.04,313.4751773,0.169000445
2.04,313.4751773,0.169356447
2.05,313.4751773,0.169709431
2.05,314.893617,0.170075673
2.06,314.893617,0.170436174
2.06,314.893617,0.170782827
2.07,314.893617,0.171150828
2.07,314.893617,0.171507693
2.08,314.893617,0.171853451
2.08,314.893617,0.172217804
2.09,314.893617,0.172579142
2.09,314.893617,0.172924007
2.1,314.893617,0.173287419
2.11,314.893617,0.173645136
2.11,314.893617,0.173989112
2.12,314.893617,0.17435159
2.12,314.893617,0.174711068
2.13,314.893617,0.175054157
2.13,314.893617,0.175415701
2.14,314.893617,0.175771578
2.14,314.893617,0.176113787
2.15,314.893617,0.176474403
2.15,314.893617,0.176832035
2.16,314.893617,0.177170698
2.16,316.3120567,0.177530389
2.17,316.3120567,0.177887105
2.17,316.3120567,0.17822756
2.18,316.3120567,0.178583671
2.18,316.3120567,0.178942128
2.19,316.3120567,0.179276406
2.19,316.3120567,0.179636909
2.2,316.3120567,0.179994447
2.2,316.3120567,0.180327869
2.21,316.3120567,0.180684806
2.21,316.3120567,0.181041432
2.22,316.3120567,0.181374003
2.22,316.3120567,0.181727393
2.23,316.3120567,0.182085746
2.24,316.3120567,0.182420101
2.24,316.3120567,0.182772589
2.25,316.3120567,0.183130027
2.25,316.3120567,0.183463529
2.26,316.3120567,0.183812495
2.26,316.3120567,0.184171645
2.27,316.3120567,0.184501679
2.27,316.3120567,0.184849759
2.28,316.3120567,0.18521061
2.28,316.3120567,0.185539804
2.29,316.3120567,0.185889608
2.29,316.3120567,0.186244325
2.3,316.3120567,0.186572685
2.3,316.3120567,0.186921602
2.31,317.7304965,0.187278021
2.31,316.3120567,0.187605547
2.32,317.7304965,0.187950983
2.32,317.7304965,0.188303907
2.33,317.7304965,0.188633198
2.33,317.7304965,0.188977761
2.34,317.7304965,0.18933238
2.34,317.7304965,0.189658253
2.35,317.7304965,0.190001945
2.35,317.7304965,0.190353089
2.36,317.7304965,0.190678142
2.37,317.7304965,0.191023546
2.37,317.7304965,0.191373805
2.38,317.7304965,0.191700611
2.38,317.7304965,0.192045144
2.39,317.7304965,0.192394518
2.39,317.7304965,0.1927205
2.4,317.7304965,0.193061601
2.4,317.7304965,0.193410097
2.41,317.7304965,0.193737819
2.41,317.7304965,0.194075503
2.42,317.7304965,0.194425679
2.42,317.7304965,0.194752577
2.43,317.7304965,0.195089412
2.43,317.7304965,0.195436159
2.44,317.7304965,0.195764783
2.44,317.7304965,0.196098228
2.45,317.7304965,0.196441565
2.45,317.7304965,0.196771909
2.46,317.7304965,0.197104519
2.46,317.7304965,0.197449533
2.47,317.7304965,0.197779048
2.47,317.7304965,0.198108293
2.48,317.7304965,0.198452445
2.48,317.7304965,0.198783665
2.49,317.7304965,0.199109561
2.5,317.7304965,0.199450331
2.5,317.7304965,0.199783248
2.51,317.7304965,0.200110851
2.51,317.7304965,0.200450769
2.52,317.7304965,0.20078537
2.52,317.7304965,0.201107127
2.53,319.1489362,0.20144871
2.53,317.7304965,0.201779968
2.54,319.1489362,0.202100925
2.54,319.1489362,0.202439155
2.55,319.1489362,0.202772093
2.55,319.1489362,0.203092253
2.56,319.1489362,0.203429643
2.56,319.1489362,0.203764252
2.57,319.1489362,0.204081121
